rule_id,timestamp,rule_type,equipment_pattern,area_pattern,condition_text,priority_override,risk_override,source_text,normalized_rule_text,rule_key,active
RULE-40D94AF0,2026-06-12T09:42:44,safety_override,bof.*gearbox|basic oxygen furnace.*gearbox|tilting gearbox,bof|basic oxygen furnace,Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 mm/s and alarm count above 2 must be P1 even if temperature is normal.,P1,CRITICAL,Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 mm/s and alarm count above 2 must be P1 even if temperature is normal.,any bof tilting gearbox with vibration above 8.5 and alarm count above 2 trigger p1 even if temperature is normal.,alarm count:above:2&vibration:above:8.5||bof.*gearbox|basic oxygen furnace.*gearbox|tilting gearbox||bof|basic oxygen furnace||P1||CRITICAL,True
RULE-99B62353,2026-06-12T09:43:48,safety_override,bof.*gearbox|basic oxygen furnace.*gearbox|tilting gearbox,bof|basic oxygen furnace,Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 mm/s and alarm count above 2 must be P1 even if temperature is normal.,P1,CRITICAL,Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 mm/s and alarm count above 2 must be P1 even if temperature is normal.,any bof tilting gearbox with vibration above 8.5 and alarm count above 2 trigger p1 even if temperature is normal.,alarm count:above:2&vibration:above:8.5||bof.*gearbox|basic oxygen furnace.*gearbox|tilting gearbox||bof|basic oxygen furnace||P1||CRITICAL,False
RULE-C0573DD3,2026-06-12T09:47:15,safety_override,blast furnace.*(blower|fan)|(blower|fan).*blast furnace,blast furnace,Remember this safety rule: any blast furnace blower with vibration above 6.5 mm/s and temperature above 80 C must be P1 because blower failure can affect furnace stability.,P1,CRITICAL,Remember this safety rule: any blast furnace blower with vibration above 6.5 mm/s and temperature above 80 C must be P1 because blower failure can affect furnace stability.,any blast furnace blower with vibration above 6.5 and temperature above 80 trigger p1,temperature:above:80&vibration:above:6.5||blast furnace.*(blower|fan)|(blower|fan).*blast furnace||blast furnace||P1||CRITICAL,True
RULE-84953CA2,2026-06-12T09:48:12,safety_override,bof.*gearbox|basic oxygen furnace.*gearbox|tilting gearbox,bof|basic oxygen furnace,Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 mm/s and alarm count above 2 must be P1 even if temperature is normal.,P1,CRITICAL,Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 mm/s and alarm count above 2 must be P1 even if temperature is normal.,any bof tilting gearbox with vibration above 8.5 and alarm count above 2 trigger p1 even if temperature is normal.,alarm count:above:2&vibration:above:8.5||bof.*gearbox|basic oxygen furnace.*gearbox|tilting gearbox||bof|basic oxygen furnace||P1||CRITICAL,False
RULE-E382FBA6,2026-06-12T10:09:45,safety_override,bof.*gearbox|basic oxygen furnace.*gearbox|tilting gearbox,bof|basic oxygen furnace,Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 and alarms above 2 must be P1.,P1,CRITICAL,Remember this safety rule: any BOF tilting gearbox with vibration above 8.5 and alarms above 2 must be P1.,any bof tilting gearbox with vibration above 8.5 and alarm count above 2 trigger p1.,alarm count:above:2&vibration:above:8.5||bof.*gearbox|basic oxygen furnace.*gearbox|tilting gearbox||bof|basic oxygen furnace||P1||CRITICAL,False
RULE-8A170040,2026-06-12T23:38:38,safety_override,pump,.*,Remember this safety rule: any pump with pressure below 5 bar and alarm count above 2 must be P1.,P1,CRITICAL,Remember this safety rule: any pump with pressure below 5 bar and alarm count above 2 must be P1.,any pump with pressure below 5 bar and alarm count above 2 trigger p1.,alarm count:above:2&pressure:below:5||pump||.*||P1||CRITICAL,True
RULE-C2F93628,2026-06-12T23:38:42,safety_override,pump,.*,Remember this safety rule: any pump with pressure below 5 bar and alarms above 2 must be P1.,P1,CRITICAL,Remember this safety rule: any pump with pressure below 5 bar and alarms above 2 must be P1.,any pump with pressure below 5 bar and alarm count above 2 trigger p1.,alarm count:above:2&pressure:below:5||pump||.*||P1||CRITICAL,False
